1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26
"49,990","47,491","45,116","45,116","47,372","49,740","49,740","49,740","49,740","44,766","42,528","40,402","44,766","45,214","45,666","46,123","42,894","39,892","42,285","44,822","47,512","47,512","47,512","49,990",Asus 10Z 5G
"59,999","58,799","57,623","57,623","57,623","57,623","57,623","57,623","57,623","51,861","49,268","46,804","57,623","58,199","58,781","59,369","55,213","51,348","54,943","58,789","62,904","62,904","62,904","59,999",Asus 9Z 5G
"64,999","63,699","62,425","62,425","62,425","62,425","62,425","62,425","62,425","56,183","53,373","50,705","62,425","62,425","62,425","62,425","58,055","53,991","57,771","61,815","66,142","66,142","66,142","64,999",Asus ROG Phone 3 (16GB RAM + 512GB)
"79,999","78,399","76,831","76,831","76,831","76,831","76,831","76,831","76,831","69,148","65,691","62,406","76,831","76,831","76,831","76,831","71,453","66,451","71,103","76,080","81,406","81,406","81,406","79,999",Asus ROG Phone 5s Pro 5G
"71,999","70,559","69,148","69,148","69,148","69,148","69,148","69,148","69,148","62,233","59,121","56,165","69,148","69,148","69,148","69,148","64,307","59,806","63,992","68,472","73,265","73,265","73,265","71,999",Asus ROG Phone 6
"72,999","71,539","70,108","70,108","70,108","70,108","70,108","70,108","70,108","63,097","59,943","56,945","70,108","70,108","70,108","70,108","65,201","60,637","64,881","69,423","74,282","74,282","74,282","72,999",Asus ROG Phone 6 Batman Edition
"89,999","87,299","84,680","84,680","88,914","88,914","88,914","88,914","88,914","80,023","76,022","72,220","80,023","80,023","80,023","80,023","74,421","69,212","74,056","79,240","84,787","84,787","84,787","89,999",Asus ROG Phone 6 Pro 5G
"71,990","70,550","69,139","69,139","69,139","69,139","69,139","69,139","69,139","62,225","59,114","56,158","69,139","69,139","69,139","69,139","64,299","59,798","63,984","68,463","73,256","73,256","73,256","71,990",Asus ROG Phone 6D
"1,07,990","1,07,990","1,07,990","1,07,990","1,06,910","1,05,841","1,04,783","1,06,878","1,06,878","96,190","91,381","86,812","96,190","96,190","96,190","96,190","89,457","83,195","89,019","95,250","1,01,918","1,01,918","1,01,918","1,07,990",Asus ROG Phone 6D Ultimate
"52,999","51,939","50,900","50,900","50,900","50,900","50,900","50,900","50,900","45,810","43,520","41,344","45,810","46,268","46,731","47,198","43,894","40,822","43,679","46,737","50,008","50,008","50,008","52,999",Asus ROG Phone 6s 5G
"82,999","80,509","78,094","78,094","81,998","81,998","81,998","81,998","81,998","73,799","70,109","66,603","81,998","81,998","81,998","81,998","76,259","70,920","75,885","81,197","86,881","86,881","86,881","82,999",Asus ROG Phone 6s Pro 5G
"74,999","73,499","72,029","72,029","72,029","72,029","72,029","72,029","72,029","64,826","61,585","58,506","72,029","72,029","72,029","72,029","66,987","62,298","66,659","71,325","76,318","76,318","76,318","74,999",Asus ROG Phone 7
"94,990","92,140","89,376","89,376","93,845","93,845","93,845","93,845","93,845","84,460","80,237","76,226","84,460","84,460","84,460","84,460","78,548","73,050","78,163","83,635","89,489","89,489","89,489","94,990",Asus ROG Phone 7 Pro
"79,990","78,390","76,822","76,822","76,822","76,822","76,822","76,822","76,822","69,140","65,683","62,399","76,822","76,822","76,822","76,822","71,445","66,444","71,095","76,071","81,396","81,396","81,396","79,990",Asus ROG Phone 7D
"89,990","87,290","84,672","84,672","88,905","88,905","88,905","88,905","88,905","80,015","76,014","72,213","80,015","80,015","80,015","80,015","74,414","69,205","74,049","79,232","84,779","84,779","84,779","89,990",Asus ROG Phone 8
"94,999","92,149","89,385","89,385","93,854","93,854","93,854","93,854","93,854","84,468","80,245","76,233","84,468","84,468","84,468","84,468","78,556","73,057","78,171","83,643","89,498","89,498","89,498","94,999",Asus ROG Phone 8 Pro
"1,09,900","1,09,900","1,09,900","1,09,900","1,08,801","1,07,713","1,06,636","1,08,769","1,08,769","97,892","92,997","88,347","97,892","97,892","97,892","97,892","91,039","84,667","90,593","96,935","1,03,720","1,03,720","1,03,720","1,09,900",Asus ROG Phone 8 Ultimate
"70,990","69,570","68,179","68,179","68,179","68,179","68,179","68,179","68,179","61,361","58,293","55,378","68,179","68,179","68,179","68,179","63,406","58,968","63,096","67,512","72,238","72,238","72,238","70,990",Asus Zenfone 10
"74,990","73,490","72,020","72,020","72,020","72,020","72,020","72,020","72,020","64,818","61,577","58,499","72,020","72,020","72,020","72,020","66,979","62,290","66,651","71,316","76,308","76,308","76,308","74,990",Asus Zenfone 11
"81,990","79,530","77,144","77,144","81,002","81,002","81,002","81,002","81,002","72,901","69,256","65,794","81,002","81,002","81,002","81,002","75,332","70,058","74,962","80,210","85,824","85,824","85,824","81,990",Asus Zenfone 11 Ultra
"63,990","62,710","61,456","61,456","61,456","61,456","61,456","61,456","61,456","55,310","52,545","49,918","61,456","61,456","61,456","61,456","57,154","53,153","56,874","60,855","65,115","65,115","65,115","63,990",Asus ZenFone 9
"23,990","23,990","23,990","23,750","23,513","23,277","23,045","23,506","23,506","21,860","20,767","19,729","21,860","22,079","22,300","22,523","21,396","20,327","21,140","21,985","22,865","22,865","22,865","23,990",Coolpad Cool 30 Pro
"13,990","13,990","13,990","13,990","13,990","13,570","13,163","13,426","13,426","12,755","12,245","11,755","12,755","12,883","13,012","13,142","12,616","12,111","12,475","12,849","13,234","13,234","13,234","13,990",Gionee F1 Plus
"7,990","7,990","7,990","7,990","7,990","7,830","7,674","7,827","7,827","7,436","7,287","7,141","7,284","7,357","7,431","7,505","7,205","6,916","7,124","7,338","7,558","7,558","7,558","7,990",Gionee G14 Pro
"7,499","7,499","7,499","7,499","7,499","7,349","7,202","7,346","7,346","6,979","6,839","6,702","6,836","6,905","6,974","7,044","6,762","6,491","6,686","6,887","7,093","7,093","7,093","7,499",Gionee M12 Pro
"11,990","11,990","11,990","11,990","11,990","11,630","11,281","11,507","11,507","10,932","10,494","10,075","10,377","10,481","10,585","10,691","10,264","9,853","10,149","10,453","10,767","10,767","10,767","11,990",Gionee M3
"7,990","7,990","7,990","7,990","7,990","7,830","7,674","7,827","7,827","7,436","7,287","7,141","7,284","7,357","7,431","7,505","7,205","6,916","7,124","7,338","7,558","7,558","7,558","7,990",Gionee P50 Pro
"13,999","13,999","13,999","13,999","13,999","13,579","13,172","13,435","13,435","12,763","12,253","11,763","12,763","12,891","13,020","13,150","12,624","12,119","12,483","12,857","13,243","13,243","13,243","13,999",Google Pixel 3a
"19,999","19,999","19,999","19,799","19,601","19,405","19,211","19,595","19,595","18,224","17,495","16,795","18,224","18,406","18,590","18,776","17,837","16,945","17,623","18,328","19,061","19,061","19,061","19,999",Google Pixel 4
"32,999","31,349","29,782","29,782","31,271","32,834","32,834","32,834","32,834","29,879","28,385","26,966","29,879","30,178","30,480","30,785","28,630","26,626","28,223","29,916","31,711","31,711","31,711","32,999",Google Pixel 5A
"74,990","73,490","72,020","72,020","72,020","72,020","72,020","72,020","72,020","64,818","61,577","58,499","72,020","72,020","72,020","72,020","66,979","62,290","66,651","71,316","76,308","76,308","76,308","74,990",Google Pixel 6 XL
"43,999","41,799","39,709","39,709","41,695","43,779","43,779","43,779","43,779","39,839","37,847","35,955","39,839","40,238","40,640","41,046","38,173","35,501","37,631","39,889","42,282","42,282","42,282","43,999",Google Pixel 6A
"46,999","44,649","42,417","42,417","44,537","46,764","46,764","46,764","46,764","42,088","39,983","37,984","42,088","42,509","42,934","43,363","40,328","37,505","39,755","42,140","44,669","44,669","44,669","46,999",Google Pixel 7 5G
"62,999","61,739","60,504","60,504","60,504","60,504","60,504","60,504","60,504","54,454","51,731","49,145","60,504","60,504","60,504","60,504","56,269","52,330","55,993","59,913","64,107","64,107","64,107","62,999",Google Pixel 7 Pro 5G
"89,999","87,299","84,680","84,680","88,914","88,914","88,914","88,914","88,914","80,023","76,022","72,220","80,023","80,023","80,023","80,023","74,421","69,212","74,056","79,240","84,787","84,787","84,787","89,999",Google Pixel 7 Ultra
"37,999","36,099","34,294","34,294","36,009","37,809","37,809","37,809","37,809","34,406","32,686","31,052","34,406","34,750","35,098","35,449","32,968","30,660","32,499","34,449","36,516","36,516","36,516","37,999",Google Pixel 7A
"69,999","68,599","67,227","67,227","67,227","67,227","67,227","67,227","67,227","60,504","57,479","54,605","67,227","67,227","67,227","67,227","62,521","58,145","62,215","66,570","71,230","71,230","71,230","69,999",Google Pixel 8 (8GB RAM + 256 GB)
"69,999","68,599","67,227","67,227","67,227","67,227","67,227","67,227","67,227","60,504","57,479","54,605","67,227","67,227","67,227","67,227","62,521","58,145","62,215","66,570","71,230","71,230","71,230","69,999",Google Pixel 8 5G
"1,01,999","1,01,999","1,01,999","1,01,999","1,00,979","99,969","98,970","1,00,949","1,00,949","90,854","86,311","81,996","90,854","90,854","90,854","90,854","84,494","78,580","84,080","89,966","96,263","96,263","96,263","1,01,999",Google Pixel 8 Pro
"1,08,999","1,08,999","1,08,999","1,08,999","1,07,909","1,06,830","1,05,762","1,07,877","1,07,877","97,089","92,235","87,623","97,089","97,089","97,089","97,089","90,293","83,972","89,850","96,140","1,02,870","1,02,870","1,02,870","1,08,999",Google Pixel 8 Pro (12GB RAM + 256 GB)
"52,999","51,939","50,900","50,900","50,900","50,900","50,900","50,900","50,900","45,810","43,520","41,344","45,810","46,268","46,731","47,198","43,894","40,822","43,679","46,737","50,008","50,008","50,008","52,999",Google Pixel 8A
"59,999","58,799","57,623","57,623","57,623","57,623","57,623","57,623","57,623","51,861","49,268","46,804","57,623","58,199","58,781","59,369","55,213","51,348","54,943","58,789","62,904","62,904","62,904","59,999",Google Pixel 8A (8GB RAM + 256GB)
"59,990","58,790","57,614","57,614","57,614","57,614","57,614","57,614","57,614","51,853","49,260","46,797","57,614","58,191","58,772","59,360","55,205","51,341","54,934","58,780","62,894","62,894","62,894","59,990",Google Pixel 9
"94,990","92,140","89,376","89,376","93,845","93,845","93,845","93,845","93,845","84,460","80,237","76,226","84,460","84,460","84,460","84,460","78,548","73,050","78,163","83,635","89,489","89,489","89,489","94,990",Google Pixel 9 Pro
"1,09,990","1,09,990","1,09,990","1,09,990","1,08,890","1,07,801","1,06,723","1,08,858","1,08,858","97,972","93,073","88,420","97,972","97,972","97,972","97,972","91,114","84,736","90,667","97,014","1,03,805","1,03,805","1,03,805","1,09,990",Google Pixel 9 Pro XL
"49,990","47,491","45,116","45,116","47,372","49,740","49,740","49,740","49,740","44,766","42,528","40,402","44,766","45,214","45,666","46,123","42,894","39,892","42,285","44,822","47,512","47,512","47,512","49,990",Google Pixel 9A
"99,990","96,990","94,081","94,081","98,785","98,785","98,785","98,785","98,785","88,906","84,461","80,238","88,906","88,906","88,906","88,906","82,683","76,895","82,278","88,037","94,200","94,200","94,200","99,990",Google Pixel Flip
"1,46,990","1,46,990","1,46,990","1,46,990","1,45,520","1,44,065","1,42,624","1,45,477","1,45,477","1,28,020","1,21,619","1,15,538","1,28,020","1,28,020","1,28,020","1,28,020","1,19,058","1,10,724","1,28,020","1,28,020","1,19,058","1,19,058","1,19,058","1,46,990",Google Pixel Fold
"1,59,990","1,59,990","1,59,990","1,59,990","1,58,390","1,56,806","1,55,238","1,58,343","1,58,343","1,39,342","1,32,375","1,25,756","1,39,342","1,39,342","1,39,342","1,39,342","1,29,588","1,20,517","1,39,342","1,39,342","1,29,588","1,29,588","1,29,588","1,59,990",Google Pixel Fold 2
"1,25,990","1,25,990","1,25,990","1,25,990","1,24,730","1,23,483","1,22,248","1,24,693","1,24,693","1,09,730","1,04,243","99,031","1,09,730","1,09,730","1,09,730","1,09,730","1,02,049","94,905","1,01,549","1,08,657","1,16,263","1,16,263","1,16,263","1,25,990",Google Pixel Notepad
"29,990","29,990","29,990","29,690","29,393","29,099","28,808","29,384","29,384","26,740","25,403","24,133","26,740","27,007","27,277","27,550","25,622","23,828","24,781","25,772","26,803","26,803","26,803","29,990",Honor 100 5G
"44,999","42,749","40,612","40,612","42,642","44,774","44,774","44,774","44,774","40,745","38,707","36,772","40,745","41,152","41,564","41,979","39,041","36,308","38,486","40,795","43,243","43,243","43,243","44,999",Honor 100 GT
"39,990","37,991","36,091","36,091","37,896","39,790","39,790","39,790","39,790","36,209","34,399","32,679","36,209","36,571","36,937","37,306","34,695","32,266","34,202","36,254","38,430","38,430","38,430","39,990",Honor 100 Pro
"34,990","33,241","31,578","31,578","33,157","34,815","34,815","34,815","34,815","31,682","30,098","28,593","31,682","31,999","32,319","32,642","30,357","28,232","29,926","31,721","33,625","33,625","33,625","34,990",Honor 200
"29,990","29,990","29,990","29,690","29,393","29,099","28,808","29,384","29,384","26,740","25,403","24,133","26,740","27,007","27,277","27,550","25,622","23,828","24,781","25,772","26,803","26,803","26,803","29,990",Honor 200 Lite
"44,990","42,741","40,603","40,603","42,634","44,765","44,765","44,765","44,765","40,736","38,700","36,765","40,736","41,144","41,555","41,971","39,033","36,301","38,479","40,787","43,235","43,235","43,235","44,990",Honor 200 Pro
"32,990","31,341","29,773","29,773","31,262","32,825","32,825","32,825","32,825","29,871","28,377","26,959","29,871","30,170","30,471","30,776","28,622","26,618","28,215","29,908","31,703","31,703","31,703","32,990",Honor 50
"49,999","47,499","45,124","45,124","47,380","49,749","49,749","49,749","49,749","44,774","42,536","40,409","44,774","45,222","45,674","46,131","42,902","39,899","42,293","44,830","47,520","47,520","47,520","49,999",Honor 50 Pro Plus
"24,990","24,990","24,990","24,740","24,493","24,248","24,005","24,485","24,485","22,771","21,633","20,551","22,771","22,999","23,229","23,461","22,288","21,174","22,021","22,902","23,818","23,818","23,818","24,990",Honor 60 SE 5G
"30,990","29,441","27,968","27,968","29,367","30,835","30,835","30,835","30,835","28,060","26,657","25,324","28,060","28,341","28,624","28,910","26,887","25,005","26,505","28,095","29,781","29,781","29,781","30,990",Honor 70 5G (8GB RAM + 256GB)
"19,990","19,990","19,990","19,790","19,592","19,396","19,202","19,586","19,586","18,215","17,487","16,787","18,215","18,397","18,581","18,767","17,829","16,937","17,615","18,320","19,052","19,052","19,052","19,990",Honor 70 Lite 5G
